"term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","exposure","model","exposure_label","q.value"
"DII",1.08449124460134,0.0462036458683452,1.75551033940252,0.0829526361494148,0.98923853908923,1.18891572976906,"cvd_chd","DII","M2","DII_cont",NA
"DII",1.01188196949475,0.0631763427501764,0.18696766250021,0.852184206199981,0.892244876990137,1.14756066030053,"cvd_chd","DII","M3","DII_cont",NA
"DII_QQ2",0.977827151087641,0.251703710818066,-0.089082364433537,0.929212216299974,0.593094897932391,1.61212976327637,"cvd_chd","DII_Q","Crude","DII_Q",NA
"DII_QQ3",1.39179681481934,0.261697311889733,1.26327466837712,0.209717528770185,0.827592846498925,2.34064175631293,"cvd_chd","DII_Q","Crude","DII_Q",NA
"DII_QQ4",1.46361795380864,0.245126603941,1.55393749534202,0.123670440472282,0.899422430961957,2.38172569525519,"cvd_chd","DII_Q","Crude","DII_Q",0.123670440472282
"DII_QQ2",0.987938768815936,0.254070339800394,-0.047760624270353,0.962017757871829,0.596181768733602,1.63712320992773,"cvd_chd","DII_Q","M1","DII_Q",NA
"DII_QQ3",1.42173887590427,0.261382791036309,1.34622742970706,0.181766970978547,0.845581173897396,2.39047591603881,"cvd_chd","DII_Q","M1","DII_Q",NA
"DII_QQ4",1.59672551892738,0.24359960578943,1.92100056981784,0.0580446583978612,0.983827199666412,2.59144327749669,"cvd_chd","DII_Q","M1","DII_Q",0.0580446583978612
"DII_QQ2",0.895854907473936,0.255500255688998,-0.430437192503546,0.668049674805203,0.538731837519776,1.48971335895045,"cvd_chd","DII_Q","M2","DII_Q",NA
"DII_QQ3",1.17866907390911,0.259766064974397,0.632822837983489,0.528676888286802,0.702812230568771,1.97671686029916,"cvd_chd","DII_Q","M2","DII_Q",NA
"DII_QQ4",1.26187761176197,0.241044492595683,0.964970314505211,0.337504375811076,0.780995195310874,2.03885390925135,"cvd_chd","DII_Q","M2","DII_Q",0.337504375811076
"DII_QQ2",0.878593051446008,0.352886370829974,-0.366785081082502,0.714826065684944,0.434927947791798,1.77483593309743,"cvd_chd","DII_Q","M3","DII_Q",NA
"DII_QQ3",0.912417497561545,0.353821807270754,-0.259050203692204,0.796315762697918,0.450830901163884,1.84660298951833,"cvd_chd","DII_Q","M3","DII_Q",NA
"DII_QQ4",0.937042663713832,0.316788529620336,-0.205267740006003,0.837926551877859,0.498455286556585,1.76154005645246,"cvd_chd","DII_Q","M3","DII_Q",0.837926551877859
"sleep_score",1.37568227442221,0.0722814435969337,4.41260981740484,2.74640452239684e-05,1.19173852432613,1.58801757393015,"cvd_chd","sleep_score","Crude","sleep_score",2.74640452239684e-05
"sleep_score",1.42869510818486,0.0772203485763173,4.62004539604065,1.30402998837397e-05,1.22544286343639,1.6656588185821,"cvd_chd","sleep_score","M1","sleep_score",1.30402998837397e-05
"sleep_score",1.36051563008457,0.0801888761362882,3.83923285241535,0.000243738209348988,1.15987594741847,1.59586271602939,"cvd_chd","sleep_score","M2","sleep_score",0.000292485851218786
"sleep_score",1.17200806615831,0.107816990967692,1.47211095481542,0.145120053283052,0.945522518899145,1.45274478363498,"cvd_chd","sleep_score","M3","sleep_score",0.174144063939663
"sleep_disorder",1.98836497983082,0.173408051106098,3.9635569309709,0.000144785347602401,1.40911050857173,2.80573827884158,"cvd_chd","sleep_disorder","Crude","sleep_disorder",0.000144785347602401
"sleep_disorder",2.01335542728507,0.170896930727804,4.09488159942497,9.35518514516007e-05,1.43358881141331,2.82758908573091,"cvd_chd","sleep_disorder","M1","sleep_disorder",9.35518514516007e-05
"sleep_disorder",1.78278584902337,0.169053270234166,3.42008896815176,0.000982968851865938,1.27355760094338,2.49562750921016,"cvd_chd","sleep_disorder","M2","sleep_disorder",0.000982968851865938
"sleep_disorder",1.24120013004458,0.232808678975007,0.928138758901453,0.356273984401873,0.780672219299751,1.9733989819755,"cvd_chd","sleep_disorder","M3","sleep_disorder",0.427528781282247
"DII",1.18896525480956,0.0433773350380959,3.99018046945863,0.000131590099653443,1.09083625058797,1.29592170812291,"cvd_angina","DII","Crude","DII_cont",NA
"DII",1.20314685230745,0.0449760351291093,4.11197876280148,8.79276434640695e-05,1.10027492733125,1.31563694878373,"cvd_angina","DII","M1","DII_cont",NA
"DII",1.13225988084451,0.0438508556364064,2.83268201605905,0.00582269040401343,1.03765782539733,1.23548669550978,"cvd_angina","DII","M2","DII_cont",NA
"DII",1.13279369634633,0.0750560456324338,1.66125031268546,0.100783288943825,0.975504807198222,1.31544360316129,"cvd_angina","DII","M3","DII_cont",NA
"DII_QQ2",1.78244761137365,0.341895490548429,1.6905384783331,0.0943477101780455,0.903801150286426,3.51528595231902,"cvd_angina","DII_Q","Crude","DII_Q",NA
"DII_QQ3",1.52843767911133,0.302394168903028,1.40295724112816,0.164032339114943,0.838263507530896,2.78685844956828,"cvd_angina","DII_Q","Crude","DII_Q",NA
