"term","estimate","std.error","robust.se","statistic","p.value","conf.low","conf.high","subgroup_var","subgroup_level","outcome","exposure"
"DII",0.945596890660657,0.057877920790238,0.0545218652907174,-1.02599058663641,0.304896021186941,0.849761282640747,1.05224078561028,"pir_group","<=1.3","mort_cvd","DII"
"DII",1.07969667304021,0.0609506004312174,0.0704035691660941,1.08915136406001,0.276087142402054,0.940533213106592,1.23945107895086,"pir_group","1.3-3.5","mort_cvd","DII"
"DII",1.05028501637529,0.116923983673348,0.0927959234479352,0.528703952492023,0.59701083490641,0.87562698375069,1.25978143215435,"pir_group",">3.5","mort_cvd","DII"
"DII",0.978483489587264,0.0724276046510645,0.0560672304559517,-0.387951487842593,0.698051934435944,0.876655554634026,1.09213924937094,"bmi_cat","<25","mort_cvd","DII"
"DII",1.0994243997181,0.083046705521236,0.098425145680181,0.96303408250658,0.335530419616749,0.906537419230935,1.3333525842992,"bmi_cat","25-29.9","mort_cvd","DII"
"DII",1.06799120874214,0.0664378270223275,0.0526107928150031,1.25030446168293,0.211188349200656,0.963352635275599,1.18399553827368,"bmi_cat",">=30","mort_cvd","DII"
"DII",0.997576530431254,0.0521814329548674,0.0560434076474586,-0.0432952068071158,0.965466212055362,0.893803370524902,1.11339805474535,"smoke_status","Never","mort_cvd","DII"
"DII",1.08945403119439,0.0709100977902892,0.0491182588088049,1.74429395543841,0.081107845122268,0.989462575475402,1.19955025637572,"smoke_status","Ever","mort_cvd","DII"
"DII",1.01033127509382,0.049975358595058,0.060334256439218,0.170355496587098,0.864730569068283,0.897650308995729,1.13715694764782,"alcohol_any","No","mort_cvd","DII"
"DII",1.07037019923197,0.0650065595293344,0.0510826570635575,1.33126530873955,0.183101728798324,0.968394630300805,1.18308417617723,"alcohol_any","Yes","mort_cvd","DII"
"DII",1.05175455736013,0.0535947410390257,0.050388474520312,1.00141504740087,0.316626192285411,0.95284806258373,1.16092763617347,"diabetes","0","mort_cvd","DII"
"DII",1.00517065598987,0.0616263533183508,0.0654391348340183,0.0788111588523827,0.937182828176769,0.884174344589844,1.14272490922795,"diabetes","1","mort_cvd","DII"
"DII",0.939682724208172,0.0852294778245588,0.0827684953538083,-0.751650587164456,0.452261213113073,0.798966502736188,1.10518228129879,"hypertension","0","mort_cvd","DII"
"DII",1.07076637632513,0.0462739610101062,0.0463837668583197,1.47410691895132,0.140452805921263,0.977716155270661,1.17267227966696,"hypertension","1","mort_cvd","DII"
"sleep_disorder",2.28650671100559,0.433504356477958,0.61879387027794,1.33651162186888,0.181382104405156,0.679914312058212,7.68937033204563,"age_group","20-39","mort_allcause","sleep_disorder"
"sleep_disorder",1.20369095834015,0.208137384507307,0.247843126884696,0.748024111661893,0.454445614055818,0.74054345202571,1.95649818957488,"age_group","40-59","mort_allcause","sleep_disorder"
